time,Operational demand,Available generation,Emissions intensity_NSW
2020-05-11 00:00:00+00:00,7952,,907.5159761
2020-05-11 01:00:00+00:00,7604,,883.5915885
2020-05-11 02:00:00+00:00,7253,,848.5876801
2020-05-11 03:00:00+00:00,7131,,821.598915
2020-05-11 04:00:00+00:00,7149,,813.3269791
2020-05-11 05:00:00+00:00,7433,,769.6384425
2020-05-11 06:00:00+00:00,8050,,721.3163882
2020-05-11 07:00:00+00:00,9161,,787.5178308
2020-05-11 08:00:00+00:00,10241.5,,837.866956
2020-05-11 09:00:00+00:00,9975,,868.0458099
2020-05-11 10:00:00+00:00,9471,,883.1814144
2020-05-11 11:00:00+00:00,9058,,914.6995294
2020-05-11 12:00:00+00:00,8581,,936.9067648
2020-05-11 13:00:00+00:00,8245,,908.2348308
2020-05-11 14:00:00+00:00,8057.5,,905.7942276
2020-05-11 15:00:00+00:00,7740,,949.6874919
2020-05-11 16:00:00+00:00,7271,,932.0797352
2020-05-11 17:00:00+00:00,6856,,891.0144751
2020-05-11 18:00:00+00:00,6736,,850.9516135
2020-05-11 19:00:00+00:00,7013,,807.8489666
2020-05-11 20:00:00+00:00,7743,,748.0250808
2020-05-11 21:00:00+00:00,8791.5,,746.9052204
2020-05-11 22:00:00+00:00,9147,,816.810175
2020-05-11 23:00:00+00:00,8986,,847.5036787
2020-05-12 00:00:00+00:00,8349.5,,888.7197416
2020-05-12 01:00:00+00:00,7818.5,,858.2383337
2020-05-12 02:00:00+00:00,7470.5,,804.552061
2020-05-12 03:00:00+00:00,7343,,797.5110611
2020-05-12 04:00:00+00:00,7325.5,,784.959794
2020-05-12 05:00:00+00:00,7574.5,,760.4763441
2020-05-12 06:00:00+00:00,8088,,768.9791202
2020-05-12 07:00:00+00:00,9056.5,,796.5931898
2020-05-12 08:00:00+00:00,10058,,824.9252892
2020-05-12 09:00:00+00:00,9794,,875.7513167
2020-05-12 10:00:00+00:00,9319,,899.9213556
2020-05-12 11:00:00+00:00,8864.5,,919.2048016
2020-05-12 12:00:00+00:00,8436,,944.7188461
2020-05-12 13:00:00+00:00,8178,,925.7966633
2020-05-12 14:00:00+00:00,7965,,923.2334589
2020-05-12 15:00:00+00:00,7646.5,,907.7203449
2020-05-12 16:00:00+00:00,7165,,969.6455415
2020-05-12 17:00:00+00:00,6687,,961.5983492
2020-05-12 18:00:00+00:00,6518,,918.9839026
2020-05-12 19:00:00+00:00,6780.5,,862.2346933
2020-05-12 20:00:00+00:00,7495,,810.4511483
2020-05-12 21:00:00+00:00,8482.5,,822.9867239
2020-05-12 22:00:00+00:00,9016,,853.7994615
2020-05-12 23:00:00+00:00,8903,,851.4745744
2020-05-13 00:00:00+00:00,8590,,882.604707
2020-05-13 01:00:00+00:00,8296,,873.0311417
