time,Operational demand,Available generation,Emissions intensity_QLD
2020-05-11 00:00:00+00:00,4913,,747.477927
2020-05-11 01:00:00+00:00,4788.5,,729.6211118
2020-05-11 02:00:00+00:00,4779,,729.9567816
2020-05-11 03:00:00+00:00,4867.5,,723.4310398
2020-05-11 04:00:00+00:00,5128.5,,684.7805499
2020-05-11 05:00:00+00:00,5515.5,,689.3431789
2020-05-11 06:00:00+00:00,5997.5,,696.9102346
2020-05-11 07:00:00+00:00,6584.5,,712.8152754
2020-05-11 08:00:00+00:00,7033.5,,770.2184415
2020-05-11 09:00:00+00:00,6842,,856.9979985
2020-05-11 10:00:00+00:00,6535,,851.8168515
2020-05-11 11:00:00+00:00,6193,,836.7705136
2020-05-11 12:00:00+00:00,5908,,835.5730774
2020-05-11 13:00:00+00:00,5674,,847.4917348
2020-05-11 14:00:00+00:00,5304,,871.9869904
2020-05-11 15:00:00+00:00,5057,,845.9869254
2020-05-11 16:00:00+00:00,4906,,848.4914558
2020-05-11 17:00:00+00:00,4850,,829.6645044
2020-05-11 18:00:00+00:00,4902.5,,806.3237059
2020-05-11 19:00:00+00:00,5111.5,,787.0937913
2020-05-11 20:00:00+00:00,5540.5,,769.7118622
2020-05-11 21:00:00+00:00,6017.5,,749.4088824
2020-05-11 22:00:00+00:00,5965,,779.0065643
2020-05-11 23:00:00+00:00,5586,,741.0216476
2020-05-12 00:00:00+00:00,5253.5,,732.860211
2020-05-12 01:00:00+00:00,4989.5,,752.0002022
2020-05-12 02:00:00+00:00,5119.5,,707.3714698
2020-05-12 03:00:00+00:00,5394,,710.9926375
2020-05-12 04:00:00+00:00,5535.5,,710.2276615
2020-05-12 05:00:00+00:00,5751.5,,714.8218081
2020-05-12 06:00:00+00:00,6102,,684.3774608
2020-05-12 07:00:00+00:00,6628,,709.0224385
2020-05-12 08:00:00+00:00,7008,,773.2695601
2020-05-12 09:00:00+00:00,6807,,839.6499392
2020-05-12 10:00:00+00:00,6544.5,,833.62498
2020-05-12 11:00:00+00:00,6175,,851.4599905
2020-05-12 12:00:00+00:00,5917,,819.8780222
