time,Operational demand,Available generation,Emissions intensity_SA
2020-05-11 00:00:00+00:00,1265,,809.2696853
2020-05-11 01:00:00+00:00,1143,,726.9412026
2020-05-11 02:00:00+00:00,984.5,,583.1192727
2020-05-11 03:00:00+00:00,941.5,,562.0010624
2020-05-11 04:00:00+00:00,996.5,,542.0231007
2020-05-11 05:00:00+00:00,1094,,520.9322268
2020-05-11 06:00:00+00:00,1255,,555.6367999
2020-05-11 07:00:00+00:00,1532.5,,552.5052274
2020-05-11 08:00:00+00:00,1880,,699.2612158
2020-05-11 09:00:00+00:00,2003,,821.2560076
2020-05-11 10:00:00+00:00,1937.5,,887.8358361
2020-05-11 11:00:00+00:00,1860,,851.5379073
2020-05-11 12:00:00+00:00,1690,,726.3303655
2020-05-11 13:00:00+00:00,1544,,610.6767277
2020-05-11 14:00:00+00:00,1658,,595.5825879
2020-05-11 15:00:00+00:00,1569,,593.3086727
2020-05-11 16:00:00+00:00,1454,,528.2677197
2020-05-11 17:00:00+00:00,1366.5,,490.5452572
2020-05-11 18:00:00+00:00,1320,,581.5564783
2020-05-11 19:00:00+00:00,1310.5,,535.8287923
2020-05-11 20:00:00+00:00,1371,,456.7874511
2020-05-11 21:00:00+00:00,1509,,396.7328892
2020-05-11 22:00:00+00:00,1665,,409.4381694
2020-05-11 23:00:00+00:00,1620.5,,424.9684042
2020-05-12 00:00:00+00:00,1466.5,,385.6496222
2020-05-12 01:00:00+00:00,1287,,289.3047843
2020-05-12 02:00:00+00:00,1156.5,,251.8512137
2020-05-12 03:00:00+00:00,1011,,255.9051904
2020-05-12 04:00:00+00:00,1006,,233.7597476
2020-05-12 05:00:00+00:00,1094,,250.47846
2020-05-12 06:00:00+00:00,1287,,315.5371873
2020-05-12 07:00:00+00:00,1552,,363.6891569
2020-05-12 08:00:00+00:00,1840,,596.0293137
2020-05-12 09:00:00+00:00,1893,,729.5376483
2020-05-12 10:00:00+00:00,1807.5,,700.6248025
2020-05-12 11:00:00+00:00,1722.5,,604.8814098
2020-05-12 12:00:00+00:00,1594.5,,576.6490871
2020-05-12 13:00:00+00:00,1473,,551.0141749
2020-05-12 14:00:00+00:00,1610,,613.3078773
2020-05-12 15:00:00+00:00,1504.5,,941.8003632
2020-05-12 16:00:00+00:00,1351.5,,849.0689538
2020-05-12 17:00:00+00:00,1270,,727.9358632
2020-05-12 18:00:00+00:00,1206,,647.9643522
