time,Operational demand,Available generation,Emissions intensity_TAS
2020-05-11 00:00:00+00:00,1379,,16.53101704
2020-05-11 01:00:00+00:00,1340.5,,0
2020-05-11 02:00:00+00:00,1295.5,,0
2020-05-11 03:00:00+00:00,1286,,0
2020-05-11 04:00:00+00:00,1291.5,,0
2020-05-11 05:00:00+00:00,1308.5,,0
2020-05-11 06:00:00+00:00,1350,,0
2020-05-11 07:00:00+00:00,1431,,0
2020-05-11 08:00:00+00:00,1492.5,,0
2020-05-11 09:00:00+00:00,1454,,0
2020-05-11 10:00:00+00:00,1396,,0
2020-05-11 11:00:00+00:00,1329,,0
2020-05-11 12:00:00+00:00,1256.5,,0
2020-05-11 13:00:00+00:00,1174.5,,0
2020-05-11 14:00:00+00:00,1123,,0
2020-05-11 15:00:00+00:00,1095,,0
2020-05-11 16:00:00+00:00,1073,,0
2020-05-11 17:00:00+00:00,1051,,0
2020-05-11 18:00:00+00:00,1045,,0
2020-05-11 19:00:00+00:00,1077,,0
2020-05-11 20:00:00+00:00,1160.5,,0
2020-05-11 21:00:00+00:00,1284,,0
2020-05-11 22:00:00+00:00,1339.5,,0
2020-05-11 23:00:00+00:00,1347.5,,0
2020-05-12 00:00:00+00:00,1321.5,,0
2020-05-12 01:00:00+00:00,1305.5,,0
2020-05-12 02:00:00+00:00,1292,,0
2020-05-12 03:00:00+00:00,1313.5,,0
2020-05-12 04:00:00+00:00,1320.5,,0
2020-05-12 05:00:00+00:00,1321,,0
2020-05-12 06:00:00+00:00,1351,,0
2020-05-12 07:00:00+00:00,1421.5,,0
2020-05-12 08:00:00+00:00,1490.5,,0
2020-05-12 09:00:00+00:00,1467,,0
2020-05-12 10:00:00+00:00,1404,,0
2020-05-12 11:00:00+00:00,1345,,0
2020-05-12 12:00:00+00:00,1270,,0
2020-05-12 13:00:00+00:00,1196.5,,0
2020-05-12 14:00:00+00:00,1143,,0
2020-05-12 15:00:00+00:00,1115,,0
2020-05-12 16:00:00+00:00,1107,,0
2020-05-12 17:00:00+00:00,1118.5,,0
2020-05-12 18:00:00+00:00,1117,,0
2020-05-12 19:00:00+00:00,1133.5,,0
2020-05-12 20:00:00+00:00,1178,,0
2020-05-12 21:00:00+00:00,1323.5,,0
2020-05-12 22:00:00+00:00,1373,,0
2020-05-12 23:00:00+00:00,1329,,0
2020-05-13 00:00:00+00:00,1269.5,,0
2020-05-13 01:00:00+00:00,1219.5,,0
2020-05-13 02:00:00+00:00,1188,,0
2020-05-13 03:00:00+00:00,1174.5,,0
2020-05-13 04:00:00+00:00,1180.5,,0
2020-05-13 05:00:00+00:00,1197,,0
2020-05-13 06:00:00+00:00,1230.5,,0
2020-05-13 07:00:00+00:00,1384.5,,0
